latitude,longitude,cumulative_distance,terrain
10.0069921,76.3735699,0.0,"boundary wall,road"
10.0069916,76.3736082,0.00419946201641942,"boundary wall,road"
10.0069913,76.3735979,0.005329210730955695,"boundary wall,road"
10.0070376,76.3733017,0.03820500931068873,"boundary wall,road"
10.0070513,76.3733353,0.0421883022254135,"boundary wall,road"
10.0070688,76.373379,0.04735566914027931,"boundary wall,road"
10.0070527,76.3733482,0.05117327412464013,"boundary wall,road"
10.0070499,76.3733462,0.05155274261690016,"boundary wall,road"
10.0070452,76.3733436,0.05214562375450631,"boundary wall,road"
10.0070434,76.3733426,0.052372909295884944,"boundary wall,road"
10.0070427,76.3733421,0.052467776420019395,"boundary wall,road"
10.0070423,76.3733419,0.05251715521101097,"boundary wall,road"
10.0070422,76.3733419,0.05252821599191423,"boundary wall,road"
10.0070571,76.373353,0.05457690034310251,"boundary wall,road"
10.0070677,76.3733608,0.056028084485098675,"boundary wall,road"
10.0070813,76.3733702,0.057851522990219534,"boundary wall,road"
10.0070924,76.3733762,0.05924439472888937,"boundary wall,road"
10.0080234,76.4833092,12.112389815225157,"civil station, road"
10.0071039,76.3733808,24.165019912114246,"civil station, road"
10.0071086,76.3733825,24.16557217073111,"civil station, road"
10.0071138,76.3733843,24.16618024589809,"civil station, road"
10.0071176,76.3733856,24.166624063973565,"civil station, road"
10.0071905,76.3734965,24.18121350895839,"civil station, road"
10.0071925,76.3735023,24.181886783005908,"civil station, road"
10.0071939,76.3735066,24.182383002154836,"civil station, road"
10.0071955,76.3735109,24.182886563367113,"civil station, road"
10.0072086,76.3735318,24.18559766312612,"civil station, road"
10.0072114,76.3735353,24.18609077917426,"civil station, road"
10.0072157,76.3735401,24.186800113423047,"civil station, road"
10.0072236,76.3735475,24.18799248872,"civil station, road"
10.0064398,76.5674298,45.444856879374996,"civil station, road"
10.0072328,76.3735519,66.70124274639025,"civil station, road"
10.0072387,76.3735557,66.70201698223369,"civil station, road"
10.0072564,76.3735643,66.70418996077902,"civil station, road"
10.0072603,76.373566,66.70465987462744,"civil station, road"
10.0072651,76.3735684,66.70525242004376,"civil station, road"
10.0072696,76.373571,66.70582600283532,"civil station, road"
10.0072746,76.3735744,66.70649294088501,"civil station, road"
10.0072791,76.3735782,66.70714202699062,"civil station, road"
10.0072878,76.3735864,66.70845893248008,"civil station, road"
10.0073008,76.3735944,66.7101432297174,"civil station, road"
10.0073072,76.3736,66.71108028008778,"civil station, road"
10.0073071,76.3736016,66.71125604751457,"civil station, road"
10.0073069,76.3736038,66.71149826102969,"civil station, road"
10.0073072,76.3736069,66.71183975143691,"civil station, road"
10.0073076,76.3736104,66.71222602278132,"civil station, road"
10.007309,76.3736176,66.71303045346016,"civil station, road"
10.0073103,76.3736216,66.71349197231409,"civil station, road"
10.0073122,76.3736207,66.71372413920147,"civil station, road"
10.007283,76.3736258,66.71700193113126,"civil station, road"
10.0072769,76.3736367,66.71837428564385,"civil station, road"
10.0072731,76.3736439,66.71926859558205,"civil station, road"
10.0072696,76.3736492,66.71996681944196,"civil station, road"
10.007266,76.3736515,66.72043813773955,"civil station, road"
10.0072536,76.3736442,66.72202611534718,"civil station, road"
10.0056393,76.4729384,77.60982857007818,"civil station, road"
10.0072407,76.3736338,88.4987480096862,"civil station, road"
10.0072314,76.3736311,88.499818408668,"civil station, road"
10.0072269,76.3736289,88.50037150751997,"civil station, road"
10.0072086,76.3736237,88.50247438688902,"civil station, road"
10.0072046,76.3736214,88.50298363396962,"civil station, road"
10.007196,76.3736218,88.5039358715496,"civil station, road"
10.0071875,76.3736225,88.5048791651437,"civil station, road"
10.0071792,76.3736247,88.5058283671281,"civil station, road"
10.0071766,76.3736256,88.50613240470662,"civil station, road"
10.0071808,76.3736248,88.50660516498895,"civil station, road"
10.0071849,76.3736244,88.50706077256731,"civil station, road"
10.0071875,76.3736247,88.50735022767617,"civil station, road"
10.0071883,76.3736259,88.50750878048486,"civil station, road"
10.0071889,76.3736272,88.50766600171136,"civil station, road"
10.0071891,76.3736288,88.50784281017613,"civil station, road"
10.0071896,76.3736303,88.50801631553718,"civil station, road"
10.007188,76.3736329,88.5083518393573,"civil station, road"
10.0071854,76.373636,88.50879705520549,"civil station, road"
10.0072035,76.3736496,88.51129330782663,"civil station, road"
10.0072096,76.373654,88.51212273091797,"civil station, road"
10.0072046,76.373655,88.51268653271582,"civil station, road"
10.0072023,76.373655,88.51294093068536,"civil station, road"
10.0071942,76.3736521,88.51389159830583,"civil station, road"
10.0071913,76.3736501,88.51428014653594,"civil station, road"
10.0071896,76.3736498,88.51447103482451,"civil station, road"
12.0075892,75.372934,335.3364330915016,"civil station, road"
10.0071818,76.3736527,582.1593096140243,"civil station, road"
10.0071827,76.3736506,582.1595604505575,"civil station, road"
10.0071841,76.373645,582.1601936442313,"civil station, road"
10.0071842,76.3736415,582.1605775329499,"civil station, road"
10.0071836,76.3736375,582.1610210737738,"civil station, road"
10.0071779,76.3736354,582.1616922629296,"civil station, road"
10.0071879,76.3736358,582.1627992101127,"civil station, road"
10.0071924,76.373619,582.164707177323,"civil station, road"
10.0071947,76.3736161,582.1651143734958,"civil station, road"
10.0072012,76.3736154,582.1658374088738,"civil station, road"
10.0072008,76.3736162,582.1659356454294,"civil station, road"
10.0072009,76.3736175,582.1660786020004,"civil station, road"
10.0072682,76.3735566,582.1760782313733,"civil station, road"
10.0072796,76.373547,582.1777207078117,"civil station, road"
10.0072763,76.37355,582.1782120442713,"civil station, road"
10.0072725,76.3735541,582.1788274471703,"civil station, road"
10.0072666,76.3735689,582.1805763855335,"civil station, road"
10.0072646,76.3735687,582.180798685249,"civil station, road"
10.0072734,76.3735839,582.1827285991495,"civil station, road"
10.0072777,76.3735828,582.1832192648228,"civil station, road"
10.007316,76.3735819,582.1874566930934,"civil station, road"
10.0073183,76.373581,582.187729557038,"civil station, road"
10.0073299,76.3735794,582.189024543828,"civil station, road"
10.0073279,76.3735792,582.1892468435448,"civil station, road"
10.0073339,76.373583,582.190030424817,"civil station, road"
10.0073406,76.3735872,582.1909029071679,"civil station, road"
10.0073403,76.3735658,582.1932493715174,"civil station, road"
10.007331,76.3735465,582.1956021463699,"civil station, road"
10.0073135,76.3735472,582.197539303955,"civil station, road"
10.007314,76.3735592,582.1988561087476,"civil station, road"
10.0071999,76.3737963,582.2277526300106,"civil station, road"
10.0071166,76.373866,582.2397228645796,"civil station, road"
10.0071084,76.3738641,582.2406534629087,"civil station, road"
10.0070573,76.3738465,582.246625830262,"civil station, road"
10.0070555,76.3738335,582.2480649495378,"civil station, road"
10.0069673,76.3739257,582.2621132354727,"civil station, road"
10.0069071,76.3740074,582.2732743676255,"civil station, road"
10.0067238,76.3740573,582.294273948735,"civil station, road"
10.0066597,76.3740669,582.3014416074753,"civil station, road"
10.0064289,76.3739923,582.328248101742,"civil station, road"
10.0060826,76.3739148,582.3674827031867,"civil station, road"
10.0057735,76.3739974,582.4028506404276,"civil station, road"
10.0055107,76.374074,582.4331072633379,"civil station, road"
10.0053456,76.3741338,582.4525098979161,"civil station, road"
10.0051303,76.3742066,582.4776257518421,"civil station, road"
10.0051196,76.3741962,582.4792691654607,"civil station, road"
10.005042,76.3740155,582.5008600722738,"civil station, road"
10.0050196,76.3738476,582.5194342250168,"civil station, road"
10.004987,76.373696,582.5364419283511,"civil station, road"
10.0049127,76.3734951,582.5599513367307,"civil station, road"
10.0048249,76.3733265,582.580832019834,"civil station, road"
10.0047433,76.3731021,582.6070380285058,"civil station, road"
10.0047113,76.3730271,582.6159902735981,"civil station, road"
10.0045402,76.3727944,582.6477558875275,"civil station, road"
10.0042774,76.3724163,582.6983856610199,"civil station, road"
10.004033,76.3720908,582.7431554255701,"civil station, road"
10.0038038,76.3717129,582.7917282316379,"civil station, road"
10.0036186,76.3713062,582.8407982800352,"civil station, road"
10.0035548,76.3710035,582.8747277121636,"civil station, road"
10.0035359,76.3706933,582.9088016618642,"civil station, road"
10.0035618,76.3706068,582.918708596308,"civil station, road"
10.0035765,76.3706003,582.9204838512976,"civil station, road"
10.0035859,76.3705868,582.922292647747,"civil station, road"
10.0036048,76.3705565,582.9262177033299,"civil station, road"
10.003607,76.3705559,582.9264697754444,"civil station, road"
10.0035875,76.3705231,582.9306631240354,"civil station, road"
10.0035786,76.3705477,582.9335342568544,"civil station, road"
10.0035761,76.3705555,582.9344330292893,"civil station, road"
10.003576,76.3705558,582.9344677307064,"civil station, road"
10.0036307,76.3705017,582.9429404676214,"civil station, road"
10.0038392,76.3702895,582.9756988710375,"civil station, road"
10.004111,76.3700092,583.0186898400655,"civil station, road"
10.004342,76.3697711,583.0552176826235,"civil station, road"
10.0045031,76.3695861,583.0822160931423,"civil station, road"
10.0046943,76.3693715,583.1138519368849,"civil station, road"
10.0049034,76.369176,583.1453849780044,"civil station, road"
10.0050863,76.3689736,583.1754130546714,"civil station, road"
10.0052377,76.3687661,583.2036616478727,"civil station, road"
10.0055205,76.3685339,583.2439919462469,"civil station, road"
10.005793,76.3683252,583.2818338944286,"civil station, road"
10.0060833,76.3680625,583.3249680642137,"civil station, road"
10.0062293,76.367757,583.3621519706195,"civil station, road"
10.0063157,76.3674843,583.3935402202832,"civil station, road"
10.0064317,76.3672708,583.4202335747926,"civil station, road"
10.0066114,76.3671063,583.4470726667611,"civil station, road"
10.0068492,76.3669552,583.4781574113545,"civil station, road"
10.0070756,76.3668305,583.5066880714027,"civil station, road"
10.0073088,76.3667333,583.5345965401725,"civil station, road"
10.007597,76.3666762,583.5670826144492,"civil station, road"
10.0079215,76.3665814,583.6044494290518,"civil station, road"
10.0082883,76.3665314,583.6453890468296,"civil station, road"
10.0086228,76.3665962,583.6830632896034,"civil station, road"
10.008946,76.3666537,583.7193633333073,"civil station, road"
10.0092452,76.3666719,583.7525172954463,"civil station, road"
10.0095374,76.366483,583.7909031358388,"civil station, road"
10.0098837,76.3662327,583.8380223070486,"civil station, road"
10.0102717,76.3660761,583.8842450678176,"civil station, road"
10.0106463,76.3659441,583.9281334251573,"civil station, road"
10.010913,76.3658132,583.9609382702773,"civil station, road"
10.0111719,76.3657005,583.992126583415,"civil station, road"
10.0114263,76.3655964,584.0224917075817,"civil station, road"
10.0117317,76.3654218,584.061318161003,"civil station, road"
10.0120807,76.3652423,584.1046472467937,"civil station, road"
10.0123768,76.3650745,584.1422114457766,"civil station, road"
10.0127459,76.3648714,584.1887143979186,"civil station, road"
10.0131236,76.3646397,584.2376078207984,"civil station, road"
10.0134881,76.3644509,584.2829275370898,"civil station, road"
10.0138488,76.3643469,584.3244211154155,"civil station, road"
10.0142044,76.3642298,584.3657954821487,"civil station, road"
10.0145455,76.3641297,584.4050875369837,"civil station, road"
10.01495,76.3640006,584.4520138253417,"civil station, road"
10.0151883,76.3638417,584.483608507604,"civil station, road"
10.0152567,76.3636326,584.507749173193,"civil station, road"
10.015166,76.3634348,584.5316429258056,"civil station, road"
10.0150012,76.3631488,584.5679117581705,"civil station, road"
